word,description
React,"Adoré par les devs qui codent des to-do lists depuis 6 ans en appelant ça de l’architecture."
Vue,"Framework préféré des devs qui veulent tout faire comme React, mais sans l’admettre."
Angular,"Utilisé uniquement dans les grandes boîtes par des gens qui n’ont pas le choix et qui pleurent en silence."
Svelte,"Framework de niche adoré par les hipsters qui cherchent encore une raison de ne pas utiliser React."
Next.js,"L’usine à gaz pour faire des blogs. Mais avec du SSR, donc ça impressionne les RH."
Nuxt,"Le petit frère de Next pour ceux qui veulent Vue mais rêvent de Gatsby."
Gatsby,"Le CMS pour développeurs qui aiment la complexité gratuite et les mises à jour qui cassent tout."
Astro,"La hype statique pour les devs qui veulent build moins mais parler plus."
Tailwind,"Pour ceux qui veulent faire du CSS sans faire du CSS, et pondre des divs de 400 classes."
Bootstrap,"Le framework de ceux qui ont abandonné tout espoir de design en 2012."
jQuery,"Utilisé par les devs bloqués en 2008 qui refusent de mourir avec dignité."
Express,"Choisi par ceux qui veulent faire une API vite, mal, et sans se poser de questions."
NestJS,"Un pseudo-Spring Boot pour les fans de TypeScript qui aiment souffrir dans la structure."
Django,"Le paradis des fullstackers qui ne savent pas ce qu’ils font mais ça marche, donc bon."
Flask,"Mini-framework pour projets perso devenus involontairement critiques."
Laravel,"L’outil des devs PHP qui veulent se sentir modernes malgré l’environnement toxique."
Symfony,"Le choix par défaut dans les entreprises qui pensent encore que PHP est scalable."
Spring Boot,"Utilisé par les architectes Java qui aiment les acronymes, la config XML et les migraines."
Ruby on Rails,"Le framework qui a tout inventé et tout oublié. Adoré par les puristes qui ne codent plus."
Electron,"Transformer un site web en app desktop qui consomme plus que Chrome + Slack + Discord combinés."
